WKT,sec_name
"POLYGON ((77.988374 27.2275912, 77.9876391 27.2276246, 77.9876177 27.2273194, 77.9882185 27.2270332, 77.9883472 27.226766, 77.9886691 27.2269187, 77.9889266 27.2270522, 77.9891841 27.226766, 77.9901926 27.2266897, 77.9907719 27.226766, 77.99148 27.2265752, 77.9916302 27.2262699, 77.9930464 27.2261173, 77.9937116 27.2259456, 77.9942052 27.2257166, 77.9950635 27.2254304, 77.9953639 27.2254304, 77.9958145 27.2245527, 77.9954712 27.2235462, 77.994806 27.222325, 77.9932181 27.2193865, 77.9950742 27.2184706, 77.9964797 27.21786, 77.996764 27.2178838, 77.996882 27.2179459, 77.9972092 27.217984, 77.9972951 27.2177121, 77.9982017 27.2167914, 77.9992209 27.2159852, 77.9993604 27.2166483, 77.9994033 27.2170299, 77.9993765 27.2173877, 77.9996179 27.2185994, 78.0007068 27.2184229, 78.0009429 27.2183513, 78.0014149 27.2195439, 78.0033783 27.2187473, 78.0038611 27.2185946, 78.0047087 27.2181939, 78.0048374 27.2182559, 78.005111 27.2173448, 78.0052505 27.2168248, 78.0052612 27.2161188, 78.0053632 27.2156942, 78.0059801 27.2150454, 78.0063556 27.2148927, 78.0078366 27.2176275, 78.0089412 27.2172398, 78.0101321 27.216925, 78.0117307 27.2165529, 78.0119989 27.2173162, 78.0122993 27.2176405, 78.0125247 27.2182702, 78.0134688 27.2182035, 78.0135439 27.218337, 78.0144988 27.2181939, 78.0150781 27.2183179, 78.0151747 27.218213, 78.0164943 27.2180985, 78.0166982 27.2246338, 78.01702 27.2269998, 78.0170629 27.2286979, 78.0174921 27.2329717, 78.0179642 27.2364631, 78.0183719 27.2393249, 78.0156897 27.2395157, 78.0154322 27.2421484, 78.0131791 27.2429878, 78.0123637 27.246002, 78.0107544 27.2465552, 78.007922 27.2474137, 78.0034802 27.2478906, 78.0017422 27.24749, 77.9985664 27.2477571, 77.998899 27.2468986, 77.9987596 27.2454297, 77.9980515 27.246002, 77.997515 27.2455442, 77.9965494 27.2452771, 77.9968069 27.2443423, 77.9975579 27.2428924, 77.9979871 27.2412708, 77.998266 27.2402979, 77.9983304 27.239363, 77.998545 27.2389052, 77.9988668 27.2373598, 77.9987596 27.2364822, 77.9988454 27.2346697, 77.9986308 27.2336585, 77.9979656 27.2324184, 77.9974077 27.2317697, 77.9938028 27.228965, 77.988374 27.2275912))",DayalBagh
"POLYGON ((78.0235305 27.1840512, 78.0245068 27.1840989, 78.0251398 27.1875824, 78.026024 27.1902243, 78.0227731 27.1911786, 78.0229019 27.1915604, 78.0200266 27.1918848, 78.0191039 27.1917321, 78.0172585 27.1919421, 78.0162597 27.1924865, 78.0133414 27.1938607, 78.0114102 27.1943569, 78.0104232 27.194166, 78.0096507 27.1939179, 78.0080595 27.1947016, 78.0072211 27.1951926, 78.0056547 27.1964141, 78.0045818 27.1967576, 78.0018781 27.1966431, 78.0013749 27.1949308, 78.000817 27.1923542, 78.0011585 27.1894086, 78.0012244 27.1880761, 78.0013424 27.1856902, 78.0015215 27.1843095, 78.0010645 27.1829245, 78.0062122 27.1825499, 78.0069418 27.1820536, 78.0079932 27.1818437, 78.0090661 27.1813474, 78.0119648 27.1805677, 78.0128231 27.1807872, 78.0144968 27.1804628, 78.0152908 27.1805581, 78.0156911 27.1802782, 78.0167499 27.1813981, 78.0172649 27.1818371, 78.0178442 27.1822571, 78.019196 27.1831541, 78.0200759 27.1836314, 78.0216423 27.1839559, 78.0235305 27.1840512))",Mantola
"POLYGON ((77.9670324 27.1791266, 77.970809 27.1786685, 77.9728474 27.1719492, 77.9789414 27.1740108, 77.9834046 27.1750798, 77.985722 27.1762252, 77.9874654 27.1769887, 77.9890265 27.1776759, 77.9891123 27.1790121, 77.9887261 27.1803483, 77.9887261 27.181379, 77.9891552 27.1830969, 77.9891552 27.1844712, 77.9883828 27.1856165, 77.9881682 27.1861509, 77.9883398 27.1867235, 77.9876103 27.1869144, 77.9870953 27.185731, 77.9861512 27.185731, 77.9856791 27.1840513, 77.9857649 27.1834405, 77.9850139 27.1829633, 77.9842951 27.1828583, 77.9834904 27.1825243, 77.9825463 27.1819517, 77.9800143 27.1830206, 77.979113 27.1806919, 77.9782011 27.1803387, 77.9773106 27.1799665, 77.9749503 27.1813027, 77.9709592 27.1834787, 77.9682126 27.1828679, 77.9670324 27.1791266))",Shahganj
"POLYGON ((77.9768103 27.1714106, 77.9812305 27.1607963, 77.9906483 27.1636265, 77.9912727 27.1718306, 77.9913263 27.1720784, 77.9902857 27.1718306, 77.9894274 27.1718306, 77.9886335 27.1717925, 77.9863589 27.1717256, 77.9835051 27.1715633, 77.9801577 27.171487, 77.9768103 27.1714106))",Arjun Nagar
"POLYGON ((78.0041558 27.2055121, 78.0047677 27.2044901, 78.0048106 27.2023145, 78.0041669 27.2015512, 78.0018065 27.1966654, 78.0045102 27.1967799, 78.0055831 27.1964364, 78.006656 27.1955776, 78.0071495 27.1952149, 78.0079879 27.1947239, 78.0095791 27.1939402, 78.0103516 27.1941883, 78.010137 27.1949136, 78.0134804 27.1963435, 78.0152869 27.1978527, 78.0143404 27.1993209, 78.0126213 27.2000639, 78.0113719 27.2010536, 78.0094884 27.2009786, 78.0089305 27.2014748, 78.0078147 27.2017802, 78.0074067 27.2044053, 78.0074174 27.2051304, 78.0065162 27.2063136, 78.0064733 27.2072678, 78.0053575 27.2071915, 78.0056149 27.2061991, 78.0041558 27.2055121))",Sanjay Place
"POLYGON ((77.9170654 27.2184795, 77.9168596 27.2179015, 77.918542 27.21511, 77.918575 27.192421, 77.920754 27.192329, 77.9316046 27.1933154, 77.9333642 27.1981632, 77.9356387 27.1983159, 77.9389861 27.2011404, 77.9367116 27.2121708, 77.9359391 27.2123234, 77.9361966 27.2136974, 77.9170654 27.2184795))",Shastripuram
"POLYGON ((77.9725684 27.1906815, 77.9723538 27.1898799, 77.9724397 27.1882957, 77.9723663 27.1877517, 77.9723324 27.1872268, 77.9724182 27.1868642, 77.9723967 27.1864633, 77.9740704 27.1856998, 77.9759176 27.1845641, 77.9760875 27.1843065, 77.9805953 27.182789, 77.9812498 27.1845451, 77.9812927 27.185843, 77.9807348 27.1864156, 77.979147 27.1868737, 77.9803057 27.1896222, 77.9797478 27.1898131, 77.9797478 27.1907292, 77.9798765 27.1914927, 77.9764004 27.1911491, 77.9725684 27.1906815))",Goalpura
"POLYGON ((78.0398819 27.1461891, 78.038775 27.1471543, 78.0349019 27.1500566, 78.0341943 27.1437755, 78.0321667 27.1360519, 78.0266895 27.1298793, 78.0266895 27.1296884, 78.0305595 27.1289318, 78.0316363 27.1288208, 78.0345136 27.1323363, 78.0369609 27.1306376, 78.0406522 27.1350014, 78.0414037 27.1345099, 78.0426163 27.1361738, 78.043287 27.1369293, 78.042764 27.1373835, 78.0440046 27.1386226, 78.0453544 27.1395095, 78.0463824 27.1400909, 78.0456742 27.1407782, 78.0454198 27.1413901, 78.0450336 27.1420058, 78.0450027 27.1425107, 78.0442788 27.1429537, 78.0437639 27.1434883, 78.0425319 27.1445853, 78.0419096 27.1448907, 78.0412874 27.1454063, 78.0398819 27.1461891))",Shamsabad
"POLYGON ((77.979721 27.1907674, 77.9807747 27.1908391, 77.9833067 27.1909918, 77.9851092 27.1906864, 77.9856671 27.1905337, 77.9900445 27.1898848, 77.9904736 27.189923, 77.990774 27.1906864, 77.992834 27.1908391, 77.9948081 27.1904574, 77.9969538 27.1916408, 77.9969538 27.1942365, 77.9955376 27.1975955, 77.9950656 27.1973665, 77.9935635 27.1979772, 77.9926623 27.1956488, 77.9913748 27.1960305, 77.9910315 27.1957633, 77.9894436 27.1952671, 77.9885424 27.1947327, 77.9879416 27.1950381, 77.9885853 27.1958015, 77.9871691 27.1963359, 77.9840363 27.1946563, 77.9830493 27.1951907, 77.9826201 27.1954198, 77.9815043 27.1939693, 77.9798497 27.1915309, 77.979721 27.1907674))",Alam Ganj
"POLYGON ((78.0533726 27.1474183, 78.0563955 27.1447555, 78.0609016 27.1424833, 78.0642951 27.1455254, 78.0625356 27.1492965, 78.0627287 27.1499456, 78.0627287 27.1507094, 78.0613125 27.1523896, 78.0620957 27.1530865, 78.0614734 27.1535542, 78.0609692 27.1556831, 78.0600218 27.1560396, 78.0612449 27.1577006, 78.0611838 27.1585851, 78.0537601 27.157831, 78.0510564 27.1576783, 78.0514427 27.1585947, 78.0501767 27.1589813, 78.0497904 27.1592868, 78.0494686 27.1596686, 78.0485244 27.1602795, 78.0478592 27.1610432, 78.0475159 27.1609327, 78.0469258 27.1600258, 78.0470024 27.159438, 78.0466683 27.1579353, 78.0465664 27.1570093, 78.0460997 27.1570857, 78.0459549 27.156637, 78.0456383 27.1553451, 78.0461748 27.1553164, 78.0461909 27.1547373, 78.0458637 27.1548042, 78.0451609 27.1549283, 78.0439217 27.1544891, 78.0445977 27.1529999, 78.0436496 27.1528082, 78.0435945 27.1517254, 78.0438413 27.1514772, 78.0437261 27.1514562, 78.0436107 27.1512629, 78.0438091 27.1510858, 78.0435623 27.1508281, 78.0439003 27.1504748, 78.0431171 27.1498495, 78.0425699 27.1500405, 78.0419906 27.1502696, 78.0415185 27.1495631, 78.0417545 27.1493627, 78.0420657 27.1491431, 78.0427416 27.1489999, 78.0448552 27.1469855, 78.0457349 27.1477492, 78.0465825 27.1477111, 78.0475588 27.1483125, 78.0481382 27.1481789, 78.0494686 27.1471669, 78.0519014 27.145499, 78.0533726 27.1474183))",Basai
