WKT,sec_name,sales,user_id,Team_Leader
"POLYGON ((78.0165331 27.2086087, 78.0211872 27.2083779, 78.0283326 27.2072711, 78.0340618 27.2055344, 78.033933 27.2059352, 78.0340188 27.2069848, 78.0342763 27.207481, 78.0342763 27.2078245, 78.0346197 27.2079771, 78.0347269 27.2090267, 78.0345767 27.2092748, 78.0349201 27.211145, 78.0347055 27.212309, 78.0340403 27.216469, 78.0336755 27.2168315, 78.0335039 27.2174803, 78.0332249 27.2176139, 78.0325648 27.2196198, 78.0323237 27.2204189, 78.0320984 27.2213825, 78.0318945 27.2218499, 78.03168 27.2220694, 78.0313474 27.2226323, 78.0312079 27.2233001, 78.0309289 27.2240729, 78.0308431 27.2245976, 78.0306285 27.2250078, 78.0305105 27.2259809, 78.0305963 27.2291864, 78.0306607 27.231266, 78.0313259 27.2316858, 78.0314332 27.2322773, 78.0310899 27.2331358, 78.0311972 27.2341089, 78.031047 27.2365319, 78.0230862 27.2367417, 78.022936 27.2376193, 78.0213052 27.2391265, 78.0183719 27.2393249, 78.0174921 27.2329717, 78.01702 27.2269998, 78.0166982 27.2246338, 78.0164901 27.2178447, 78.0163399 27.2151541, 78.015782 27.2140473, 78.0158464 27.2133604, 78.0163185 27.2119673, 78.0163399 27.2111659, 78.0167476 27.2103071, 78.0165545 27.2092957, 78.0165331 27.2086087))",Kamla Nagar,1544718.0,1962.0,
"POLYGON ((77.988374 27.2275912, 77.9876391 27.2276246, 77.9876177 27.2273194, 77.9882185 27.2270332, 77.9883472 27.226766, 77.9886691 27.2269187, 77.9889266 27.2270522, 77.9891841 27.226766, 77.9901926 27.2266897, 77.9907719 27.226766, 77.99148 27.2265752, 77.9916302 27.2262699, 77.9930464 27.2261173, 77.9937116 27.2259456, 77.9942052 27.2257166, 77.9950635 27.2254304, 77.9953639 27.2254304, 77.9958145 27.2245527, 77.9954712 27.2235462, 77.994806 27.222325, 77.9932181 27.2193865, 77.9950742 27.2184706, 77.9964797 27.21786, 77.996764 27.2178838, 77.996882 27.2179459, 77.9972092 27.217984, 77.9972951 27.2177121, 77.9982017 27.2167914, 77.9992209 27.2159852, 77.9993604 27.2166483, 77.9994033 27.2170299, 77.9993765 27.2173877, 77.9996179 27.2185994, 78.0007068 27.2184229, 78.0009429 27.2183513, 78.0014149 27.2195439, 78.0033783 27.2187473, 78.0038611 27.2185946, 78.0047087 27.2181939, 78.0048374 27.2182559, 78.005111 27.2173448, 78.0052505 27.2168248, 78.0052612 27.2161188, 78.0053632 27.2156942, 78.0059801 27.2150454, 78.0063556 27.2148927, 78.0078366 27.2176275, 78.0089412 27.2172398, 78.0101321 27.216925, 78.0117307 27.2165529, 78.0119989 27.2173162, 78.0122993 27.2176405, 78.0125247 27.2182702, 78.0134688 27.2182035, 78.0135439 27.218337, 78.0144988 27.2181939, 78.0150781 27.2183179, 78.0151747 27.218213, 78.0164943 27.2180985, 78.0166982 27.2246338, 78.01702 27.2269998, 78.0170629 27.2286979, 78.0174921 27.2329717, 78.0179642 27.2364631, 78.0183719 27.2393249, 78.0156897 27.2395157, 78.0154322 27.2421484, 78.0131791 27.2429878, 78.0123637 27.246002, 78.0107544 27.2465552, 78.007922 27.2474137, 78.0034802 27.2478906, 78.0017422 27.24749, 77.9985664 27.2477571, 77.998899 27.2468986, 77.9987596 27.2454297, 77.9980515 27.246002, 77.997515 27.2455442, 77.9965494 27.2452771, 77.9968069 27.2443423, 77.9975579 27.2428924, 77.9979871 27.2412708, 77.998266 27.2402979, 77.9983304 27.239363, 77.998545 27.2389052, 77.9988668 27.2373598, 77.9987596 27.2364822, 77.9988454 27.2346697, 77.9986308 27.2336585, 77.9979656 27.2324184, 77.9974077 27.2317697, 77.9938028 27.228965, 77.988374 27.2275912))",Dayal Bagh,965942.0,1105.0,
"POLYGON ((78.023509 27.1840417, 78.0248133 27.1841171, 78.0246654 27.1857591, 78.0251183 27.1875729, 78.0260025 27.1902148, 78.0227516 27.1911691, 78.0228804 27.1915509, 78.0200051 27.1918753, 78.0190824 27.1917226, 78.017237 27.1919326, 78.0162382 27.192477, 78.0133199 27.1938512, 78.0113887 27.1943474, 78.0104017 27.1941565, 78.0096292 27.1939084, 78.008038 27.1946921, 78.0071996 27.1951831, 78.0056332 27.1964046, 78.0045603 27.1967481, 78.0018566 27.1966336, 78.0013534 27.1949213, 78.0007955 27.1923447, 78.001137 27.1893991, 78.0012029 27.1880666, 78.0013209 27.1856807, 78.0015 27.1843, 78.001043 27.182915, 78.0061907 27.1825404, 78.0069203 27.1820441, 78.0079717 27.1818342, 78.0090446 27.1813379, 78.0119433 27.1805582, 78.0128016 27.1807777, 78.0144753 27.1804533, 78.0152693 27.1805486, 78.0156696 27.1802687, 78.0167284 27.1813886, 78.0172434 27.1818276, 78.0178978 27.1821617, 78.0192496 27.183073, 78.0200544 27.1836219, 78.0216208 27.1839464, 78.023509 27.1840417))",Mantola,827694.5,1138.0,
"POLYGON ((77.967691 27.1948972, 77.9675837 27.1954315, 77.9675408 27.1957369, 77.9671975 27.2005845, 77.9681417 27.2019204, 77.9725619 27.206806, 77.9697724 27.20818, 77.9696866 27.2085616, 77.9648801 27.209554, 77.951748 27.2112714, 77.952825 27.2062906, 77.9553958 27.1957751, 77.9594728 27.1967293, 77.960374 27.1964049, 77.9658672 27.1949258, 77.967691 27.1948972))",Avas Vikas Colony Lohamandi,774893.0,811.0,
"POLYGON ((77.9544796 27.1797374, 77.953793 27.173629, 77.9728474 27.1719492, 77.9789414 27.1740108, 77.9834046 27.1750798, 77.985722 27.1762252, 77.9773106 27.1799665, 77.9707982 27.1787068, 77.9670324 27.1791266, 77.9654634 27.1794332, 77.9628562 27.1796432, 77.9600855 27.1796034, 77.9544796 27.1797374))",Shahganj,640047.5,915.0,
"POLYGON ((77.9768103 27.1714106, 77.9812305 27.1607963, 77.9906483 27.1636265, 77.9912727 27.1718306, 77.9913263 27.1720784, 77.9902857 27.1718306, 77.9894274 27.1718306, 77.9886335 27.1717925, 77.9863589 27.1717256, 77.9835051 27.1715633, 77.9801577 27.171487, 77.9768103 27.1714106))",Arjun Nagar,502871.0,632.0,
"POLYGON ((78.0048607 27.2022827, 78.004217 27.2015194, 78.0018566 27.1966336, 78.0045603 27.1967481, 78.0056332 27.1964046, 78.0067061 27.1955458, 78.0071996 27.1951831, 78.008038 27.1946921, 78.0096292 27.1939084, 78.0104017 27.1941565, 78.0101871 27.1948818, 78.0135304 27.1963117, 78.0153369 27.1978209, 78.0143904 27.1992891, 78.0126713 27.2000321, 78.0114219 27.2010218, 78.0095385 27.2009468, 78.0089806 27.201443, 78.0078648 27.2017484, 78.0048607 27.2022827))",Sanjay Place,473706.0,558.0,
"POLYGON ((77.9170654 27.2184795, 77.9168596 27.2179015, 77.918542 27.21511, 77.918575 27.192421, 77.920754 27.192329, 77.9316046 27.1933154, 77.9333642 27.1981632, 77.9356387 27.1983159, 77.9389861 27.2011404, 77.9367116 27.2121708, 77.9359391 27.2123234, 77.9361966 27.2136974, 77.9170654 27.2184795))",Shastripuram,454312.5,439.0,
"POLYGON ((77.9725684 27.1906815, 77.9723538 27.1898799, 77.9724397 27.1882957, 77.9723663 27.1877517, 77.9723324 27.1872268, 77.9724182 27.1868642, 77.9723967 27.1864633, 77.9740704 27.1856998, 77.9759176 27.1845641, 77.9760875 27.1843065, 77.9805953 27.182789, 77.9812498 27.1845451, 77.9812927 27.185843, 77.9807348 27.1864156, 77.979147 27.1868737, 77.9803057 27.1896222, 77.9797478 27.1898131, 77.9797478 27.1907292, 77.9798765 27.1914927, 77.9764004 27.1911491, 77.9725684 27.1906815))",Goalpara,344034.5,238.0,
"POLYGON ((78.039957 27.1462655, 78.0443463 27.1428706, 78.0463824 27.1402818, 78.0512533 27.1333309, 78.0519399 27.1343239, 78.0609552 27.1425119, 78.0564491 27.1447841, 78.053445 27.1474668, 78.051955 27.1455276, 78.0478963 27.1484613, 78.0466361 27.1477397, 78.0457885 27.1477778, 78.0449088 27.1470141, 78.0435619 27.1460746, 78.0427679 27.1464564, 78.0415448 27.1467238, 78.0410299 27.1466665, 78.039957 27.1462655))",Shamsabad,326655.5,500.0,
